Event,Team,Date,Time,Location,Description
Basketball Practice,PYTHONS,12/1/2012,9:00 AM,Salem Middle School,TIGERS / PYTHONS
Basketball Practice,THUNDERBOLTS,12/1/2012,10:00 AM,Salem Middle School,THUNDERBOLTS / BUZZSAWS
Basketball Practice,BUZZSAWS,12/1/2012,10:00 AM,Salem Middle School,THUNDERBOLTS / BUZZSAWS
Basketball Practice,JACKHAMMERS,12/1/2012,11:00 AM,Salem Middle School,JACKHAMMERS / BEARS
Basketball Practice,BEARS,12/1/2012,11:00 AM,Salem Middle School,JACKHAMMERS / BEARS
Basketball Practice,KINGS,12/1/2012,12:00 PM,Salem Middle School,KINGS / YELLOW JACKETS
Basketball Practice,YELLOW JACKETS,12/1/2012,12:00 PM,Salem Middle School,KINGS / YELLOW JACKETS
Basketball Practice,JUGGERNAUTS,12/1/2012,1:00 PM,Salem Middle School,JUGGERNAUTS / BAZOOKAS
Basketball Practice,BAZOOKAS,12/1/2012,1:00 PM,Salem Middle School,JUGGERNAUTS / BAZOOKAS
Basketball Practice,PRAIRIE DOGS,12/1/2012,2:00 PM,Salem Middle School,PRAIRIE DOGS / MATADORS
Basketball Practice,MATADORS,12/1/2012,2:00 PM,Salem Middle School,PRAIRIE DOGS / MATADORS
Basketball Practice,BOBCATS,12/1/2012,3:00 PM,Salem Middle School,BOBCATS / BISONS
Basketball Practice,BISONS,1/14/2013,7:00 PM,Salem Middle School,BISONS / YELLOW JACKETS / JUGGERNAUTS
Basketball Practice,ZIPS,12/1/2012,4:00 PM,Salem Middle School,ZIPS / VOLCANOS
Basketball Practice,VOLCANOS,12/1/2012,4:00 PM,Salem Middle School,ZIPS / VOLCANOS
Basketball Practice,BEARS,12/3/2012,7:00 PM,Salem Middle School,BEARS / BAZOOKAS / KINGS
Basketball Practice,BAZOOKAS,12/3/2012,7:00 PM,Salem Middle School,BEARS / BAZOOKAS / KINGS
Basketball Practice,KINGS,12/3/2012,7:00 PM,Salem Middle School,BEARS / BAZOOKAS / KINGS
Basketball Practice,BOBCATS,12/3/2012,8:00 PM,Salem Middle School,BOBCATS / VOLCANOS / JUGGERNAUTS
Basketball Practice,VOLCANOS,12/3/2012,8:00 PM,Salem Middle School,BOBCATS / VOLCANOS / JUGGERNAUTS
Basketball Practice,JUGGERNAUTS,12/3/2012,8:00 PM,Salem Middle School,BOBCATS / VOLCANOS / JUGGERNAUTS
Basketball Practice,PRAIRIE DOGS,12/4/2012,8:00 PM,Salem Middle School,PRAIRIE DOGS / ZIPS / JACKHAMMERS
Basketball Practice,ZIPS,12/4/2012,8:00 PM,Salem Middle School,PRAIRIE DOGS / ZIPS / JACKHAMMERS
Basketball Practice,JACKHAMMERS,12/4/2012,8:00 PM,Salem Middle School,PRAIRIE DOGS / ZIPS / JACKHAMMERS
Basketball Practice,YELLOW JACKETS,12/5/2012,7:00 PM,Salem Middle School,YELLOW JACKETS / BUZZSAWS / MATADORS / PYTHONS
Basketball Practice,BUZZSAWS,12/5/2012,7:00 PM,Salem Middle School,YELLOW JACKETS / BUZZSAWS / MATADORS / PYTHONS
Basketball Practice,MATADORS,12/5/2012,7:00 PM,Salem Middle School,YELLOW JACKETS / BUZZSAWS / MATADORS / PYTHONS
